supplier_id,supplier_name,country,category,annual_spend_usd,on_time_delivery_rate,quality_defect_ppm,financial_health_score,days_payable_outstanding,single_source_flag,geopolitical_risk_index,past_disruptions_count,avg_lead_time_days,price_volatility_pct,esg_score,years_relationship,risk_score,risk_category
SUP-0024,Ironclad Manufacturing,Turkey,Chemicals,26566,99.8,299.8,29.2,36.1,0,51.3,2,41.9,5.5,61.4,3.5,50.6,High
SUP-0025,Atlas Traders,Bangladesh,Packaging,40911,98.9,604.9,74.9,39.8,0,57.5,2,6.3,7.0,61.4,11.9,40.7,Medium
SUP-0026,Pioneer Traders,China,Chemicals,6015,94.6,129.3,61.7,82.2,0,36.8,1,42.5,2.3,86.0,8.1,24.3,Low
SUP-0027,Precision Traders,USA,Electronics,164767,79.0,153.4,80.2,28.1,0,14.6,3,26.0,20.7,58.1,15.1,36.0,Medium
SUP-0028,Nova Traders,USA,Semiconductors,31859,79.3,296.3,82.4,48.7,0,14.1,1,44.6,1.7,21.8,5.3,29.6,Medium
SUP-0029,Continental Industries,South Africa,Raw Metals,7663,93.4,111.1,100.0,56.4,0,51.8,5,47.7,34.9,51.6,1.0,59.0,High
SUP-0030,Apex Group,Poland,Chemicals,113844,100.0,160.8,62.8,43.9,1,20.0,3,30.7,4.8,35.4,6.7,46.5,High
SUP-0031,Ironclad Components,Turkey,Chemicals,122087,55.2,534.0,59.6,63.7,1,37.4,0,36.2,5.2,84.2,3.3,68.3,Critical
SUP-0032,Summit Group,Mexico,Electronics,6243,100.0,288.1,66.1,49.8,0,21.1,2,31.7,19.3,64.0,7.2,38.7,Medium
SUP-0033,Prime Manufacturing,Turkey,Packaging,24271,91.3,128.0,55.4,52.5,0,31.0,1,3.5,9.6,87.0,1.2,35.4,Medium
SUP-0034,Horizon Traders,Turkey,Textiles,22417,100.0,76.0,54.9,65.9,0,42.4,1,22.7,18.0,53.3,2.3,38.1,Medium
SUP-0035,Fortress Manufacturing,Taiwan,Raw Metals,119595,88.9,492.3,60.6,30.3,0,44.6,1,7.3,5.0,84.6,8.3,41.2,Medium
SUP-0036,Union Manufacturing,Mexico,Chemicals,172468,93.1,228.2,48.8,26.9,0,22.8,0,13.8,17.7,90.4,9.3,31.3,Medium
SUP-0037,Vertex Technologies,China,Chemicals,38804,100.0,410.5,85.3,24.3,0,43.5,1,3.0,34.4,76.9,5.6,35.0,Medium
SUP-0038,Stellar Industries,China,Raw Metals,128842,87.6,570.8,68.5,63.2,1,59.4,3,28.9,14.6,43.6,8.0,73.6,Critical
SUP-0039,Vertex Logistics,Mexico,Plastics,113070,78.6,196.8,70.4,32.0,0,28.4,0,45.1,2.4,49.6,6.9,25.4,Medium
SUP-0040,Prime Materials,USA,Packaging,138084,100.0,570.6,53.8,75.1,1,20.3,1,27.2,12.2,69.6,9.6,44.7,High
SUP-0041,Apex Materials,Vietnam,Logistics Services,14008,96.5,715.4,39.2,61.4,0,24.3,2,40.6,4.6,99.8,5.2,57.6,High
SUP-0042,Apex Materials,Taiwan,Plastics,21433,73.9,293.6,35.4,67.9,0,44.1,3,48.7,3.0,74.9,0.2,63.6,Critical
SUP-0043,Nova Supply Co.,Turkey,Plastics,8445,100.0,35.2,54.8,70.7,0,38.4,0,44.5,8.2,77.5,7.1,25.3,Medium
SUP-0044,Stellar Supply Co.,Turkey,Logistics Services,19461,92.8,125.8,56.9,16.0,0,48.1,0,33.2,0.8,75.6,5.4,32.2,Medium
SUP-0045,Orion Components,China,Chemicals,23021,100.0,140.7,78.4,32.5,0,41.0,1,14.2,7.5,46.9,2.9,23.3,Low
SUP-0046,Vertex Materials,China,Logistics Services,43162,96.6,231.3,60.4,57.6,0,42.3,0,55.0,4.8,55.6,4.1,27.2,Medium
SUP-0047,Union Group,USA,Plastics,30079,100.0,300.1,28.1,39.6,0,6.1,2,30.2,1.9,59.6,13.7,35.3,Medium
SUP-0048,Fortress Manufacturing,Germany,Semiconductors,48015,84.5,104.5,69.7,81.4,0,7.5,1,3.0,3.3,62.0,1.9,24.6,Low
SUP-0049,Fortress Group,USA,Textiles,39307,99.4,8.2,90.4,30.9,0,9.2,0,31.5,1.6,57.7,6.3,6.5,Low
SUP-0050,Nova Supply Co.,South Africa,Plastics,189076,87.7,986.2,31.1,27.0,0,54.9,1,41.5,16.7,84.6,14.5,69.9,Critical
SUP-0051,Continental Traders,Turkey,Logistics Services,55428,85.4,10.4,86.8,35.5,1,50.1,2,32.5,33.8,42.4,3.8,58.6,High
SUP-0052,Continental Materials,Germany,Electronics,18507,76.6,301.1,52.5,36.6,1,12.1,0,35.2,2.5,63.5,1.9,49.8,High
SUP-0053,Summit Components,Mexico,Raw Metals,39434,85.3,3.3,75.5,50.1,0,35.9,1,27.6,3.9,74.5,4.4,24.1,Low
SUP-0054,Union Manufacturing,Philippines,Electronics,9671,92.0,147.9,46.5,18.0,1,37.6,2,3.7,10.6,70.9,0.3,53.2,High
SUP-0055,Continental Group,Turkey,Plastics,132784,68.8,129.9,58.0,78.1,0,36.4,1,25.4,13.2,48.1,19.6,40.6,Medium
SUP-0056,Atlas Materials,Taiwan,Chemicals,31530,100.0,305.6,81.1,63.6,0,50.8,0,45.4,8.9,61.9,30.0,15.1,Low
SUP-0057,Ironclad Group,Poland,Raw Metals,203346,88.1,164.3,61.9,58.1,0,26.3,1,50.2,3.6,83.4,4.9,27.0,Medium
SUP-0058,Union Manufacturing,Brazil,Logistics Services,5000,89.5,155.5,91.7,51.4,0,44.8,1,42.5,16.7,40.3,27.8,30.3,Medium
SUP-0059,Fortress Traders,India,Chemicals,8869,89.8,260.8,53.9,31.4,0,17.8,1,3.0,15.3,54.6,7.5,38.9,Medium
SUP-0060,Fortress Manufacturing,USA,Electronics,122610,96.4,149.1,52.0,61.0,0,21.7,2,33.1,4.1,51.4,10.7,32.8,Medium
SUP-0061,Horizon Traders,Turkey,Electronics,875726,94.7,298.1,75.2,46.9,0,30.0,1,3.0,44.9,100.0,13.7,39.8,Medium
SUP-0062,Precision Technologies,China,Packaging,24906,83.3,260.3,52.7,37.2,1,49.3,1,46.3,4.2,35.2,7.7,57.5,High
SUP-0063,Atlas Materials,Bangladesh,Plastics,87672,90.4,711.0,85.6,82.3,0,54.6,3,20.4,1.4,51.5,2.4,57.8,High
SUP-0064,Apex Group,Philippines,Packaging,63305,83.7,616.4,57.6,28.3,1,35.9,2,24.1,2.7,63.4,6.0,59.2,High
SUP-0065,Global Technologies,India,Raw Metals,147603,86.1,5.6,51.6,68.7,0,28.1,0,41.6,1.5,72.2,8.8,27.7,Medium
SUP-0066,Ironclad Supply Co.,Taiwan,Logistics Services,5000,99.8,14.0,72.3,34.5,0,52.5,2,29.0,46.8,33.9,1.1,46.3,High
SUP-0067,Continental Materials,Germany,Logistics Services,13920,82.8,42.2,79.6,10.0,0,7.5,2,36.0,6.6,72.4,3.8,26.9,Medium
SUP-0068,Apex Group,South Africa,Logistics Services,519763,91.5,558.9,77.9,71.6,0,54.0,1,37.4,1.1,47.8,1.3,44.5,High
SUP-0069,Pioneer Manufacturing,South Africa,Semiconductors,28813,100.0,151.0,57.3,69.3,1,49.9,3,32.4,0.1,43.6,4.0,52.1,High
SUP-0070,Stellar Industries,USA,Logistics Services,126496,78.5,218.8,60.1,31.4,0,13.6,0,19.0,6.7,77.8,1.3,34.1,Medium
SUP-0071,Orion Manufacturing,South Africa,Textiles,53051,100.0,284.8,92.7,52.4,1,42.6,2,61.7,6.4,56.3,5.5,42.0,High
SUP-0072,Prime Technologies,Bangladesh,Chemicals,69150,100.0,85.1,44.4,34.4,1,47.8,2,62.1,44.9,60.7,1.3,62.6,Critical
SUP-0073,Horizon Manufacturing,USA,Semiconductors,393348,86.6,971.6,72.0,67.6,0,12.8,2,44.3,7.1,100.0,0.2,52.6,High
SUP-0074,Vertex Traders,Mexico,Textiles,5000,74.6,319.3,39.5,14.0,0,24.1,2,39.3,8.0,64.2,3.2,52.6,High
SUP-0075,Ironclad Components,Mexico,Textiles,56596,88.4,217.0,86.2,68.0,0,14.1,2,10.6,11.9,80.9,0.8,41.5,Medium
SUP-0076,Stellar Materials,Turkey,Electronics,8719,94.8,178.7,47.3,53.5,0,46.7,0,31.7,3.6,85.3,2.6,31.1,Medium
SUP-0077,Stellar Supply Co.,USA,Packaging,75291,85.3,599.0,100.0,76.7,0,33.5,1,11.4,1.6,71.3,0.6,33.1,Medium
SUP-0078,Pioneer Manufacturing,Germany,Packaging,17190,81.1,1006.7,83.3,51.9,0,0.0,1,74.1,0.2,79.9,1.4,46.9,High
SUP-0079,Apex Manufacturing,USA,Logistics Services,6495,82.8,80.2,74.7,42.9,0,14.8,3,39.3,14.0,62.5,6.6,36.3,Medium
SUP-0080,Atlas Traders,Mexico,Packaging,37432,99.4,114.9,58.3,49.1,0,30.4,3,18.2,16.8,74.2,2.8,44.3,High
SUP-0081,Pioneer Manufacturing,USA,Textiles,5000,77.2,356.7,32.1,25.2,0,0.0,1,32.5,8.8,47.4,5.8,49.1,High
SUP-0082,Horizon Supply Co.,Bangladesh,Packaging,95846,83.2,7.8,41.9,14.3,0,56.2,3,66.6,24.9,55.5,15.7,54.1,High
SUP-0083,Stellar Logistics,Philippines,Packaging,50964,82.5,199.6,59.4,27.6,0,25.1,2,52.7,2.5,73.9,3.2,37.6,Medium
SUP-0084,Horizon Group,Brazil,Raw Metals,98289,88.4,105.0,53.7,55.6,1,28.4,2,27.7,1.0,100.0,9.5,38.8,Medium
SUP-0085,Continental Technologies,Poland,Logistics Services,128095,77.6,455.0,51.1,61.1,0,15.5,1,17.5,7.1,98.6,1.1,44.3,High
SUP-0086,Continental Logistics,Vietnam,Logistics Services,6028,94.1,308.1,84.3,89.2,0,49.7,2,4.7,9.5,34.2,7.6,38.9,Medium
SUP-0087,Stellar Materials,Bangladesh,Logistics Services,108234,93.9,123.4,89.1,48.4,0,50.0,2,8.4,7.7,38.0,3.5,31.4,Medium
SUP-0088,Meridian Traders,Mexico,Chemicals,137762,99.7,269.5,43.1,59.7,0,16.0,2,10.1,6.9,83.6,1.1,38.4,Medium
SUP-0089,Apex Supply Co.,Bangladesh,Electronics,109588,100.0,476.1,40.7,23.2,1,45.5,3,18.8,11.3,64.1,0.8,63.4,Critical
SUP-0090,Nova Supply Co.,Brazil,Raw Metals,62163,95.8,91.6,50.9,40.2,1,20.3,1,37.6,7.3,75.1,4.1,41.9,Medium
SUP-0091,Apex Traders,Bangladesh,Packaging,63617,85.6,631.1,88.3,50.3,1,50.6,1,12.2,9.5,53.6,2.5,59.3,High
SUP-0092,Stellar Supply Co.,Mexico,Raw Metals,62525,91.7,112.9,44.5,51.0,1,23.9,3,44.0,5.2,31.5,0.5,54.1,High
SUP-0093,Orion Logistics,Philippines,Plastics,71567,92.8,73.0,49.1,75.6,0,42.8,0,26.8,0.5,86.8,30.0,16.3,Low
SUP-0094,Nova Supply Co.,Poland,Chemicals,933240,86.6,46.0,57.7,30.9,0,16.9,3,32.6,2.9,69.0,3.3,38.4,Medium
SUP-0095,Nova Industries,Philippines,Packaging,18175,93.8,197.1,21.5,36.9,1,23.7,0,26.5,12.5,41.2,5.2,56.9,High
SUP-0096,Summit Manufacturing,Vietnam,Semiconductors,59518,95.8,539.3,41.1,55.3,0,37.0,0,23.5,8.3,28.6,1.0,54.6,High
SUP-0097,Precision Group,Bangladesh,Packaging,47222,100.0,285.6,75.7,38.9,1,56.2,0,34.4,22.9,46.8,9.9,39.2,Medium
SUP-0098,Ironclad Industries,Bangladesh,Packaging,70533,86.2,304.2,79.8,51.0,0,42.9,1,32.5,10.7,96.2,0.3,40.8,Medium
SUP-0099,Apex Manufacturing,India,Plastics,124064,76.5,129.1,45.6,58.6,0,39.3,0,34.2,11.6,47.3,1.8,46.1,High
SUP-0100,Zenith Manufacturing,USA,Plastics,17707,100.0,88.5,60.8,42.7,1,22.7,1,29.2,5.1,59.3,15.2,30.8,Medium
SUP-0101,Atlas Industries,Turkey,Semiconductors,168142,95.6,76.3,60.8,24.1,0,26.3,2,26.7,17.4,55.0,6.2,38.4,Medium
SUP-0102,Union Manufacturing,Poland,Raw Metals,22942,84.2,235.6,40.2,57.1,1,23.0,0,54.0,0.4,80.2,1.9,44.3,High
SUP-0103,Nova Group,Philippines,Raw Metals,199255,84.0,1006.8,70.5,21.1,0,32.7,2,17.1,1.3,64.4,0.6,63.3,Critical
SUP-0104,Orion Traders,Turkey,Semiconductors,339695,92.1,2.8,81.6,26.5,1,40.3,1,17.2,6.5,73.0,1.2,39.9,Medium
SUP-0105,Meridian Technologies,China,Textiles,450138,75.5,48.4,42.9,59.4,1,42.0,1,38.8,7.2,66.1,3.0,60.8,Critical
SUP-0106,Precision Components,China,Chemicals,68390,82.5,60.0,36.1,11.8,1,59.3,0,31.2,2.0,55.6,4.0,46.8,High
SUP-0107,Horizon Traders,Bangladesh,Semiconductors,54218,89.9,24.1,91.2,41.6,1,44.4,2,12.9,3.2,56.5,3.4,37.0,Medium
SUP-0108,Union Industries,Mexico,Textiles,15622,88.8,308.6,100.0,23.5,1,26.2,2,15.6,7.1,51.2,2.4,34.2,Medium
SUP-0109,Precision Components,Mexico,Electronics,76636,91.4,106.5,29.6,65.7,1,26.4,0,27.1,5.3,85.0,0.9,42.5,High
SUP-0110,Fortress Group,Taiwan,Raw Metals,20517,86.2,392.3,53.0,54.4,0,43.2,2,21.4,0.5,42.4,1.7,43.3,High
SUP-0111,Horizon Logistics,Mexico,Packaging,91267,100.0,93.6,60.2,48.5,0,26.6,2,46.1,0.7,46.9,1.6,33.6,Medium
SUP-0112,Global Industries,Turkey,Logistics Services,49167,100.0,527.8,75.8,70.1,0,35.3,1,39.2,23.5,45.2,6.9,42.8,High
SUP-0113,Zenith Components,Philippines,Packaging,47050,85.1,234.6,37.1,49.8,0,44.4,0,26.5,1.2,80.7,6.5,39.1,Medium
SUP-0114,Horizon Group,Brazil,Logistics Services,19072,88.6,236.5,65.4,30.4,1,29.8,1,29.1,2.4,51.3,8.5,39.5,Medium
SUP-0115,Precision Components,Vietnam,Packaging,22833,80.3,88.5,74.2,46.7,1,43.1,2,10.8,4.0,43.4,9.6,48.5,High
SUP-0116,Apex Logistics,India,Logistics Services,214496,68.7,65.3,90.4,30.9,0,38.4,0,9.3,18.2,10.3,4.9,35.1,Medium
SUP-0117,Global Logistics,India,Packaging,21349,97.9,55.5,59.6,95.9,0,31.5,1,21.7,12.8,77.0,20.6,19.7,Low
SUP-0118,Apex Traders,Vietnam,Packaging,35788,100.0,387.5,72.8,29.6,0,33.8,2,11.1,20.0,65.1,26.6,28.2,Medium
SUP-0119,Zenith Technologies,Taiwan,Electronics,149688,100.0,122.5,64.5,55.9,1,33.3,0,21.5,3.4,52.6,3.6,32.9,Medium
SUP-0120,Prime Supply Co.,Vietnam,Raw Metals,17892,100.0,492.3,55.5,58.3,0,34.1,1,34.5,9.2,68.5,28.8,29.3,Medium
SUP-0121,Fortress Technologies,Poland,Textiles,37979,84.0,21.3,40.8,34.9,1,31.6,1,34.2,16.6,73.4,0.2,52.0,High
SUP-0122,Prime Components,China,Electronics,25959,78.6,144.2,60.2,24.7,1,42.0,1,29.8,27.1,67.0,21.6,52.7,High
SUP-0123,Summit Supply Co.,Bangladesh,Semiconductors,211109,80.6,530.5,86.7,58.2,0,44.9,2,3.0,7.3,54.7,2.1,52.6,High
SUP-0124,Nova Supply Co.,Taiwan,Packaging,26332,81.4,629.3,41.0,19.5,1,44.5,1,63.8,4.5,75.3,5.1,71.2,Critical
SUP-0125,Stellar Components,India,Textiles,38743,100.0,223.5,63.3,22.6,0,29.1,0,51.5,8.2,55.1,6.8,27.0,Medium
SUP-0126,Meridian Industries,Bangladesh,Electronics,57271,85.0,901.9,94.6,57.2,0,43.0,0,32.9,3.6,49.0,0.9,46.6,High
SUP-0127,Meridian Technologies,Philippines,Textiles,10500,100.0,190.3,54.9,19.2,0,11.9,2,34.5,2.7,65.2,3.7,31.8,Medium
SUP-0128,Stellar Group,Poland,Logistics Services,9735,86.8,151.8,69.3,30.0,0,20.8,3,3.0,1.1,47.2,3.3,33.0,Medium
SUP-0129,Horizon Group,Philippines,Semiconductors,5000,97.7,111.0,95.6,35.3,0,34.2,0,54.2,1.0,76.1,2.9,12.5,Low
SUP-0130,Prime Supply Co.,USA,Textiles,79210,82.8,22.1,60.5,32.0,1,24.8,1,47.4,0.1,72.7,5.7,37.3,Medium
SUP-0131,Vertex Materials,South Africa,Textiles,297439,92.1,529.9,98.7,51.3,0,59.2,0,42.0,13.2,56.5,1.5,35.9,Medium
SUP-0132,Summit Industries,South Africa,Logistics Services,244139,88.6,168.6,41.1,63.4,0,41.9,4,51.5,3.1,27.0,5.5,56.8,High
SUP-0133,Zenith Supply Co.,Brazil,Logistics Services,68090,77.3,311.3,65.9,41.9,0,38.4,1,49.1,7.3,51.0,0.6,46.1,High
SUP-0134,Nova Materials,Bangladesh,Plastics,14553,100.0,246.1,65.6,53.4,0,47.1,2,27.6,3.0,59.3,0.8,35.4,Medium
SUP-0135,Prime Manufacturing,Brazil,Logistics Services,131633,91.3,236.5,64.7,49.0,0,28.8,0,29.7,6.1,67.2,1.1,30.5,Medium
SUP-0136,Continental Components,Philippines,Semiconductors,19865,85.1,64.9,61.6,35.6,0,33.5,1,37.4,1.2,97.3,4.0,28.0,Medium
SUP-0137,Nova Industries,Germany,Logistics Services,86652,100.0,290.8,100.0,36.0,0,1.8,1,33.8,6.1,68.4,12.2,2.3,Low
SUP-0138,Precision Industries,China,Plastics,611498,86.1,188.6,65.4,58.1,0,44.6,1,54.6,5.9,27.3,5.6,35.9,Medium
SUP-0139,Union Logistics,Vietnam,Logistics Services,50903,89.5,527.2,70.7,53.3,1,49.9,0,47.5,17.9,56.3,0.4,56.6,High
SUP-0140,Atlas Components,Germany,Electronics,110824,100.0,194.4,87.5,64.0,0,8.7,1,18.8,2.6,77.2,2.1,20.2,Low
SUP-0141,Prime Manufacturing,China,Packaging,47607,95.2,46.2,79.3,61.0,0,51.0,3,17.7,4.2,59.6,3.1,27.7,Medium
SUP-0142,Prime Group,Philippines,Chemicals,128482,84.5,31.9,72.8,60.9,0,29.2,1,39.4,9.9,40.2,11.9,26.8,Medium
SUP-0143,Pioneer Technologies,Taiwan,Semiconductors,826525,98.3,116.4,61.1,14.2,0,38.9,2,17.2,17.6,66.0,4.2,40.6,Medium
SUP-0144,Precision Group,China,Raw Metals,7166,77.1,344.3,81.1,25.5,1,46.9,1,50.5,11.9,59.5,2.0,57.6,High
SUP-0145,Orion Manufacturing,South Africa,Semiconductors,48857,83.4,32.5,34.2,56.2,1,39.1,3,37.2,0.7,56.9,16.0,53.4,High
SUP-0146,Meridian Logistics,China,Packaging,50963,91.5,466.7,61.8,63.9,1,48.1,0,28.5,9.3,16.1,6.0,51.7,High
SUP-0147,Orion Components,Vietnam,Chemicals,5000,88.3,97.9,69.0,52.6,1,31.6,0,63.6,60.0,52.6,0.7,61.7,Critical
SUP-0148,Orion Group,Germany,Logistics Services,148304,89.7,301.9,59.3,51.5,0,25.0,2,20.7,8.3,71.7,0.2,45.8,High
SUP-0149,Meridian Materials,Brazil,Textiles,19712,93.7,1101.8,53.3,47.8,0,32.3,1,31.7,13.9,54.4,9.1,63.4,Critical
SUP-0150,Zenith Industries,Taiwan,Logistics Services,30912,91.0,546.5,68.5,46.6,0,33.1,1,47.9,10.3,85.4,3.6,40.1,Medium
SUP-0151,Pioneer Technologies,Bangladesh,Plastics,133821,87.6,92.6,68.8,47.0,0,60.4,1,44.8,29.3,35.7,11.3,49.3,High
SUP-0152,Orion Industries,China,Plastics,302124,96.8,689.1,71.2,48.0,0,39.3,3,29.4,6.1,83.3,4.9,42.7,High
SUP-0153,Horizon Traders,Turkey,Textiles,43670,86.2,292.2,58.6,52.9,0,53.3,2,12.4,3.4,75.3,15.0,46.8,High
SUP-0154,Fortress Components,Germany,Textiles,74725,71.6,351.4,64.9,60.5,0,11.2,1,21.8,3.5,71.8,8.6,38.4,Medium
SUP-0155,Vertex Supply Co.,Mexico,Semiconductors,75180,75.8,15.4,59.7,54.0,0,31.0,1,6.0,4.6,68.3,5.4,36.6,Medium
SUP-0156,Precision Technologies,India,Packaging,45950,83.4,395.2,92.2,25.1,0,38.4,1,25.2,2.1,86.7,19.3,22.9,Low
SUP-0157,Prime Supply Co.,Mexico,Electronics,21727,100.0,460.3,72.0,62.9,1,11.1,0,22.7,5.8,68.4,9.9,25.6,Medium
SUP-0158,Union Supply Co.,Mexico,Semiconductors,13442,81.8,152.2,38.1,12.9,1,13.1,1,45.1,6.6,84.8,1.6,49.7,High
SUP-0159,Atlas Group,Brazil,Packaging,152531,74.7,11.9,65.7,36.9,1,40.5,1,38.2,11.4,100.0,2.0,49.0,High
SUP-0160,Global Components,Vietnam,Chemicals,19584,87.1,432.0,36.6,49.3,0,44.0,0,5.6,8.1,34.7,12.7,50.7,High
SUP-0161,Vertex Materials,Taiwan,Electronics,1095681,99.0,130.4,79.9,46.3,0,50.5,0,35.5,4.0,56.8,4.7,25.9,Medium
SUP-0162,Zenith Components,Turkey,Textiles,79506,98.6,67.2,84.9,41.7,0,37.2,2,15.5,11.4,75.4,10.2,26.2,Medium
SUP-0163,Meridian Technologies,Poland,Electronics,118441,97.8,493.0,60.0,74.2,0,6.2,0,57.0,1.5,66.9,9.1,23.0,Low
SUP-0164,Vertex Industries,USA,Chemicals,173717,91.1,276.1,86.0,25.0,1,15.3,1,15.7,21.6,69.6,7.5,41.2,Medium
SUP-0165,Horizon Supply Co.,Brazil,Logistics Services,6269,88.0,16.0,63.6,37.6,0,31.3,0,34.7,8.9,51.9,3.4,25.6,Medium
SUP-0166,Prime Components,China,Semiconductors,99227,94.9,145.5,63.8,54.1,0,52.1,2,38.6,5.6,72.6,1.2,43.8,High
SUP-0167,Pioneer Industries,South Africa,Electronics,11913,91.9,339.2,69.6,15.2,1,52.1,1,36.4,15.2,56.7,24.1,44.6,High
SUP-0168,Nova Manufacturing,Bangladesh,Textiles,7716,96.8,101.7,44.4,17.9,0,57.7,1,17.0,12.3,50.4,6.9,42.7,High
SUP-0169,Continental Manufacturing,Brazil,Textiles,62277,91.6,333.9,75.0,21.3,0,39.2,1,15.5,4.5,42.8,23.6,32.0,Medium
SUP-0170,Meridian Technologies,Turkey,Textiles,51346,82.4,36.1,95.3,32.7,1,27.2,1,16.1,1.8,28.5,2.0,38.3,Medium
SUP-0171,Summit Industries,Turkey,Plastics,131494,82.8,23.6,68.5,43.3,0,43.5,2,47.8,7.5,78.2,2.3,41.5,Medium
SUP-0172,Global Supply Co.,Turkey,Electronics,49244,74.6,178.9,39.1,55.1,1,30.4,0,51.5,7.9,71.2,4.7,50.2,High
SUP-0173,Precision Supply Co.,Philippines,Packaging,633116,100.0,72.5,79.0,44.5,1,49.8,1,33.9,5.8,65.3,3.5,38.1,Medium
SUP-0174,Fortress Components,Taiwan,Raw Metals,5000,95.4,318.4,45.5,10.0,0,52.8,1,54.5,17.3,57.6,2.0,47.8,High
SUP-0175,Ironclad Technologies,Mexico,Raw Metals,782038,98.7,221.1,82.7,41.3,1,23.0,2,42.2,8.8,55.1,9.3,39.1,Medium
SUP-0176,Summit Industries,Taiwan,Chemicals,60168,82.5,175.3,75.8,48.7,0,35.6,1,42.9,2.9,47.6,4.1,29.9,Medium
SUP-0177,Summit Group,India,Raw Metals,40232,100.0,90.4,44.6,39.4,0,27.8,0,41.9,13.5,66.1,6.9,29.3,Medium
SUP-0178,Vertex Components,Brazil,Packaging,16147,83.9,88.3,59.6,48.1,1,31.1,3,38.5,2.5,46.7,14.0,46.1,High
SUP-0179,Union Industries,India,Chemicals,45860,93.1,474.7,21.9,38.5,0,36.4,1,24.5,4.2,26.9,7.7,57.7,High
SUP-0180,Meridian Logistics,Taiwan,Chemicals,540747,65.9,596.3,94.2,48.2,0,23.5,2,38.3,1.0,80.1,0.8,50.7,High
SUP-0181,Horizon Industries,Mexico,Packaging,38924,81.3,415.2,40.5,50.2,0,28.3,3,18.6,3.2,71.7,4.7,57.1,High
